,group_from_hypermodel_param_names,group_from_model_param_names
0,J2043+1711_430_ASP_efac,J2043+1711_430_ASP_efac
1,J2043+1711_430_ASP_log10_ecorr,J2043+1711_430_ASP_log10_ecorr
2,J2043+1711_430_ASP_log10_equad,J2043+1711_430_ASP_log10_equad
3,J2043+1711_430_PUPPI_efac,J2043+1711_430_PUPPI_efac
4,J2043+1711_430_PUPPI_log10_ecorr,J2043+1711_430_PUPPI_log10_ecorr
5,J2043+1711_430_PUPPI_log10_equad,J2043+1711_430_PUPPI_log10_equad
6,J2043+1711_L-wide_ASP_efac,J2043+1711_L-wide_ASP_efac
7,J2043+1711_L-wide_ASP_log10_ecorr,J2043+1711_L-wide_ASP_log10_ecorr
8,J2043+1711_L-wide_ASP_log10_equad,J2043+1711_L-wide_ASP_log10_equad
9,J2043+1711_L-wide_PUPPI_efac,J2043+1711_L-wide_PUPPI_efac
10,J2043+1711_L-wide_PUPPI_log10_ecorr,J2043+1711_L-wide_PUPPI_log10_ecorr
11,J2043+1711_L-wide_PUPPI_log10_equad,J2043+1711_L-wide_PUPPI_log10_equad
12,J2043+1711_dm_cusp_1_log10_Amp,J2043+1711_dm_cusp_1_log10_Amp
13,J2043+1711_dm_cusp_1_log10_tau_post,J2043+1711_dm_cusp_1_log10_tau_post
14,J2043+1711_dm_cusp_1_log10_tau_pre,J2043+1711_dm_cusp_1_log10_tau_pre
15,J2043+1711_dm_cusp_1_t0,J2043+1711_dm_cusp_1_t0
16,J2043+1711_dm_cusp_2_log10_Amp,J2043+1711_dm_cusp_2_log10_Amp
17,J2043+1711_dm_cusp_2_log10_tau_post,J2043+1711_dm_cusp_2_log10_tau_post
18,J2043+1711_dm_cusp_2_log10_tau_pre,J2043+1711_dm_cusp_2_log10_tau_pre
19,J2043+1711_dm_cusp_2_t0,J2043+1711_dm_cusp_2_t0
20,J2043+1711_dm_gp_log10_ell,J2043+1711_dm_gp_log10_ell
21,J2043+1711_dm_gp_log10_gam_p,J2043+1711_dm_gp_log10_gam_p
